times,dyno velocities,alternator currents,battery currents
481,-2.34959E-20,0,-21.42638506
482,-2.34959E-20,0,-21.42638506
483,-2.34959E-20,0,-21.42638506
484,-2.34959E-20,0,-21.42638506
485,-2.34959E-20,0,-21.42638506
486,-2.34959E-20,0,-21.42638506
487,-2.34959E-20,0,-21.42638506
488,-2.34959E-20,0,-21.42638506
489,-2.34959E-20,0,-21.42638506
490,-2.34959E-20,0,-21.42638506
491,-2.34959E-20,0,-21.42638506
492,-2.34959E-20,0,-21.42638506
493,-2.34959E-20,0,-21.42638506
494,-2.34959E-20,0,-21.42638506
495,-2.34959E-20,0,-21.42638506
496,-2.34959E-20,0,-21.42638506
497,-2.34959E-20,0,-21.42638506
498,-2.34959E-20,0,-21.42638506
499,-2.34959E-20,0,-21.42638506
500,-2.34959E-20,0,-21.42638506
501,-2.34959E-20,0,-21.42638506
502,-2.34959E-20,0,-21.42638506
503,-2.34959E-20,0,-21.42638506
504,-2.34959E-20,0,-21.42638506
505,-2.34959E-20,0,-21.42638506
506,-2.34959E-20,0,-21.42638506
507,-2.34959E-20,0,-21.42638506
508,-2.34959E-20,0,-21.42638506
509,-2.34959E-20,0,-21.42638506
510,-2.34959E-20,0,-21.42638506
511,-2.26604E-20,0,-21.42638506
512,0,0,-21.42638506
513,0.320404868,-75.12138501,-110.1395883
514,2.799262668,-101.393847,47.98420281
515,5.693074589,-101.3706969,79.92879724
516,9.830467397,-101.3706969,79.92879724
517,15.06943006,-101.3706969,79.92879733
518,18.5262629,-101.3706969,79.92879735
519,20.28891858,-101.3706969,79.92879735
520,20.5387705,-101.3706969,79.92879735
521,20.06479952,-101.3706969,79.92879735
522,19.21006063,-101.3706969,79.92879735
523,18.1045813,-101.3706969,79.92879735
524,16.40629193,-101.3706969,79.92879735
525,13.48273563,-101.3706969,79.92879735
526,9.592823592,-101.3706969,79.92879735
527,5.706850863,-101.3706969,79.92879735
528,2.913867724,-75.01431568,53.57644992
529,1.424105773,0,-21.42638506
530,0.439223626,0,-21.42638506
531,0.000185854,0,-21.42638506
532,4.84899E-06,0,-21.42638506
533,2.10629E-06,0,-21.42638506
534,0.053282816,-75.12138501,-110.1395883
535,1.360798062,-101.393847,47.98420281
536,3.583555951,-101.3706969,79.92879724
537,6.127380968,-101.3706969,79.92879724
538,10.39731286,-101.3706969,79.92879724
539,16.12084811,-101.3706969,79.92879724
540,21.15166976,-101.3706969,79.92879724
541,24.13753206,-101.3706969,79.92879724
542,24.86160697,-101.3706969,79.92879724
543,24.67652052,-101.3706969,79.92879724
544,24.15976106,-101.3706969,79.92879724
545,23.10809875,-101.3706969,79.92879724
546,21.3182001,-101.3706969,79.92879724
547,19.32351871,-101.3706969,79.92879724
548,17.79732423,-101.3706969,79.92879724
549,16.63940514,-101.3706969,79.92879724
550,15.73512385,-101.3706969,79.92879724
551,14.91933772,-101.3706969,79.92879724
552,14.3487517,-101.3706969,79.92879724
553,13.88378199,-101.3706969,79.92879724
554,13.37244365,-101.3706969,79.92879724
555,13.05666379,-101.3706969,79.92879724
556,12.95156866,-101.3706969,79.92879724
557,13.06430125,-101.3706969,79.92879724
558,13.43136924,-101.3706969,79.92879724
559,14.07471052,-101.3706969,79.92879724
560,15.3654285,-101.3706969,79.92879724
561,16.87019223,-101.3706969,79.92879724
562,17.19280968,-101.3706969,79.92879724
563,17.14748439,-101.3706969,79.92879724
564,16.42850284,-101.3706969,79.92879724
565,12.93586712,-101.3706969,79.92879724
566,7.54272984,-101.3706969,79.92879724
567,2.511476025,-68.93207387,47.4951389
568,0.000266022,0,-21.42638506
569,4.98109E-06,0,-21.42638506
570,1.4857E-06,0,-21.42638506
571,6.52694E-07,0,-21.42638506
572,3.4168E-07,0,-21.42638506
573,1.97835E-07,0,-21.42638506
574,1.22279E-07,0,-21.42638506
575,7.9099E-08,0,-21.42638506
576,5.29011E-08,0,-21.42638506
577,3.62859E-08,0,-21.42638506
578,2.53843E-08,0,-21.42638506
579,1.80381E-08,0,-21.42638506
580,1.2981E-08,0,-21.42638506
581,9.43897E-09,0,-21.42638506
582,6.92246E-09,0,-21.42638506
583,5.11329E-09,0,-21.42638506
584,3.79971E-09,0,-21.42638506
585,2.83797E-09,0,-21.42638506
586,2.12883E-09,0,-21.42638506
587,1.60279E-09,0,-21.42638506
588,1.21056E-09,0,-21.42638506
589,9.16805E-10,0,-21.42638506
590,6.95963E-10,0,-21.42638506
591,5.29389E-10,0,-21.42638506
592,3.74985E-10,0,-21.42638506
593,-1.52611E-20,0,-21.42638506
594,-1.52611E-20,0,-21.42638506
595,-1.52611E-20,0,-21.42638506
596,-1.52611E-20,0,-21.42638506
597,-1.52611E-20,0,-21.42638506
598,-1.52611E-20,0,-21.42638506
