times,alternator_currents,battery_currents,velocities
912,-21.421,-0.013,42.64
913,-21.965,0.992,42.56
914,-22.557,1.777,43.8
915,-22.422,1.619,46.14
916,-22.214,1.469,49
917,0,-22.581,51.92
918,0,-22.706,54.74
919,-31.238,10.77,57.28
920,-28.362,7.857,57.28
921,-26.406,6.157,57.5
922,-27.315,6.272,57.6
923,-25.779,5.346,57.7
924,-25.254,4.77,57.8
925,-23.654,3.002,58.22
926,-23.624,2.831,59.58
927,-24.011,3.242,61.9
928,-51.469,32.427,64.6
929,-45.679,26.667,64.7
930,-14.888,-6.357,63.62
931,-16.738,-4.342,62.72
932,-18.813,-2.388,62.1
933,-19.21,-1.885,61.42
934,-20.157,-0.85,60.84
935,-20.695,0,60.3
936,-50.29,31.377,60
937,-40.885,20.963,59.6
938,-12.162,-9.026,58.66
939,-15.478,-5.448,57.44
940,-17.841,-2.951,56.72
941,-19.25,-1.829,56.28
942,-21.177,0.262,55.92
943,-21.446,0.146,55.4
944,-21.458,0.312,54.76
945,-20.761,0,54.18
946,-20.536,0,53.78
947,-20.867,0.106,53.48
948,-20.843,0.116,53.38
949,-22.256,1.431,53.38
950,-22.193,1.102,53.48
951,-22.195,1.321,54.28
952,-22.37,0.779,55.2
953,-35.614,11.367,55.68
954,-51.575,28.515,55.98
955,-49.802,26.647,55.58
956,-48.723,25.397,53.5
957,-48.676,25.561,49.82
958,-47.858,24.81,45.32
959,-45.977,24.322,40.64
960,-41.965,22.053,34.96
961,-0.387,-21.03,29.82
962,0,-22.301,25.42
963,0,-22.23,25.22
964,0,-21.758,27.32
965,0,-23.04,29.42
966,0,-22.117,36.94
967,0,-22.83,41.62
968,0,-22.294,45.8
969,0,-22.595,50.3
970,0,-22.546,51.58
971,-8.271,-15.13,52.8
972,-67.078,44.752,52.8
973,-56.539,33.856,52.3
974,-52.876,30.208,51.28
975,-50.843,28.06,49.08
976,-49.373,25.847,46.5
977,-48.482,25.513,41.76
978,-47.807,24.898,37.12
979,-47.244,24.339,31.52
980,-46.687,23.894,26.86
981,-46.664,23.443,21.34
982,-45.186,22.258,17.64
983,-45.103,21.443,14.22
984,-44.001,20.27,11.68
985,-42.792,18.966,9.24
986,-37.344,14.094,6.8
987,-19.27,-5.565,4.7
988,0,-25.594,2.7
989,0,-25.665,0
990,0,-25.697,0
991,0,-25.729,0
992,0,-25.707,0
993,0,-25.761,0
994,0,-25.89,0
995,0,-25.891,0
996,0,-25.828,0
997,0,-25.862,0
998,0,-25.897,0
